time,ax,ay,az,a_total
-0.19994200000000717,-2.79,0.37,-0.95,2.9704376781881825
-0.19795500000000743,-2.79,0.37,-0.95,2.9704376781881825
-0.19600100000000964,-2.79,0.37,-0.95,2.9704376781881825
-0.19400400000000673,-2.79,0.37,-0.95,2.9704376781881825
-0.19194500000000403,-2.66,1.27,-1.31,3.2256162201973133
-0.18995500000001186,-2.66,1.27,-1.31,3.2256162201973133
-0.1879559999999998,-2.66,1.27,-1.31,3.2256162201973133
-0.18595700000000193,-2.66,1.27,-1.31,3.2256162201973133
-0.1839560000000091,-2.66,1.27,-1.31,3.2256162201973133
-0.1819540000000046,-2.91,2.12,-1.56,3.9237864365941224
-0.17993300000000545,-2.91,2.12,-1.56,3.9237864365941224
-0.1779900000000083,-2.91,2.12,-1.56,3.9237864365941224
-0.17600000000000193,-2.91,2.12,-1.56,3.9237864365941224
-0.17399000000000342,-2.91,2.12,-1.56,3.9237864365941224
-0.17195700000000613,-3.45,2.79,-1.6,4.7166301529799854
-0.17000099999999918,-3.45,2.79,-1.6,4.7166301529799854
-0.16800000000000637,-3.45,2.79,-1.6,4.7166301529799854
-0.16600000000001103,-3.45,2.79,-1.6,4.7166301529799854
-0.16400000000000148,-3.45,2.79,-1.6,4.7166301529799854
-0.16200000000000614,-4.16,2.67,-1.56,5.183444800516352
-0.16000300000000323,-4.16,2.67,-1.56,5.183444800516352
-0.15799900000000378,-4.16,2.67,-1.56,5.183444800516352
-0.1560050000000075,-4.16,2.67,-1.56,5.183444800516352
-0.1539730000000077,-4.16,2.67,-1.56,5.183444800516352
-0.15195600000001264,-5.13,2.0,-1.68,5.756674387178764
-0.14995900000000972,-5.13,2.0,-1.68,5.756674387178764
-0.14795600000000775,-5.13,2.0,-1.68,5.756674387178764
-0.14595800000000736,-5.13,2.0,-1.68,5.756674387178764
-0.1439540000000079,-5.13,2.0,-1.68,5.756674387178764
-0.14191100000000745,-6.35,1.86,-1.81,6.859897958424746
-0.13994000000000995,-6.35,1.86,-1.81,6.859897958424746
-0.13796000000000674,-6.35,1.86,-1.81,6.859897958424746
-0.1359950000000083,-6.35,1.86,-1.81,6.859897958424746
-0.1339930000000038,-6.35,1.86,-1.81,6.859897958424746
-0.132000000000005,-6.59,1.65,-1.58,6.9747401385284595
-0.12990100000000382,-6.59,1.65,-1.58,6.9747401385284595
-0.12798899999999946,-6.59,1.65,-1.58,6.9747401385284595
-0.1260030000000114,-6.59,1.65,-1.58,6.9747401385284595
-0.12400300000000186,-6.59,1.65,-1.58,6.9747401385284595
-0.12200300000000652,-5.53,0.8,-1.56,5.801249865330747
-0.12000100000000202,-5.53,0.8,-1.56,5.801249865330747
-0.11800300000000163,-5.53,0.8,-1.56,5.801249865330747
-0.11599700000000723,-5.53,0.8,-1.56,5.801249865330747
-0.11400300000001096,-5.53,0.8,-1.56,5.801249865330747
-0.11195600000000638,-4.4,0.1,-1.8,4.754997371187497
-0.10995900000000347,-4.4,0.1,-1.8,4.754997371187497
-0.1079560000000015,-4.4,0.1,-1.8,4.754997371187497
-0.10592300000000421,-4.4,0.1,-1.8,4.754997371187497
-0.10393400000000952,-4.4,0.1,-1.8,4.754997371187497
-0.10195600000000127,-3.86,-0.27,-1.52,4.157270739319247
-0.09995600000000593,-3.86,-0.27,-1.52,4.157270739319247
-0.09800400000000309,-3.86,-0.27,-1.52,4.157270739319247
-0.09600000000000364,-3.86,-0.27,-1.52,4.157270739319247
-0.0939870000000127,-3.86,-0.27,-1.52,4.157270739319247
-0.09188500000000488,-3.01,0.17,-1.07,3.1990467330128203
-0.08996300000001156,-3.01,0.17,-1.07,3.1990467330128203
-0.0880030000000005,-3.01,0.17,-1.07,3.1990467330128203
-0.08600300000000516,-3.01,0.17,-1.07,3.1990467330128203
-0.08399900000000571,-3.01,0.17,-1.07,3.1990467330128203
-0.08199400000000878,-3.01,0.17,-1.07,3.1990467330128203
-0.07987200000000882,-1.46,0.33,-1.0,1.8001388835309347
-0.0779850000000124,-1.46,0.33,-1.0,1.8001388835309347
-0.07599900000001014,-1.46,0.33,-1.0,1.8001388835309347
-0.07400200000000723,-1.46,0.33,-1.0,1.8001388835309347
-0.07193400000001304,-1.46,0.33,-1.0,1.8001388835309347
-0.06995600000000479,-0.08,0.66,-1.44,1.5860643114325472
-0.06795400000000029,-0.08,0.66,-1.44,1.5860643114325472
-0.0659559999999999,-0.08,0.66,-1.44,1.5860643114325472
-0.06395500000000709,-0.08,0.66,-1.44,1.5860643114325472
-0.061958000000004176,-0.08,0.66,-1.44,1.5860643114325472
-0.05995300000000725,0.09,0.91,-1.78,2.0011496695649726
-0.05798200000000975,0.09,0.91,-1.78,2.0011496695649726
-0.055985000000006835,0.09,0.91,-1.78,2.0011496695649726
-0.05396900000000926,0.09,0.91,-1.78,2.0011496695649726
-0.05200200000000166,0.09,0.91,-1.78,2.0011496695649726
-0.05000000000001137,-0.34,0.58,-1.94,2.0531926358722408
-0.04800200000001098,-0.34,0.58,-1.94,2.0531926358722408
-0.045999000000009005,-0.34,0.58,-1.94,2.0531926358722408
-0.04400400000000104,-0.34,0.58,-1.94,2.0531926358722408
-0.041995000000000005,-0.34,0.58,-1.94,2.0531926358722408
-0.039928000000003294,-1.05,0.44,-2.0,2.3013257048927254
-0.037953999999999155,-1.05,0.44,-2.0,2.3013257048927254
-0.036002000000010526,-1.05,0.44,-2.0,2.3013257048927254
-0.03399900000000855,-1.05,0.44,-2.0,2.3013257048927254
-0.0319510000000065,-1.05,0.44,-2.0,2.3013257048927254
-0.02993200000000229,-2.46,0.57,-2.27,3.395497018110898
-0.027957000000000676,-2.46,0.57,-2.27,3.395497018110898
-0.025958000000002812,-2.46,0.57,-2.27,3.395497018110898
-0.02395400000000336,-2.46,0.57,-2.27,3.395497018110898
-0.02195700000000045,-2.46,0.57,-2.27,3.395497018110898
-0.019975000000002296,-4.71,0.17,-2.6,5.3826573362977514
-0.01799800000000573,-4.71,0.17,-2.6,5.3826573362977514
-0.016000000000005343,-4.71,0.17,-2.6,5.3826573362977514
-0.014000000000010004,-4.71,0.17,-2.6,5.3826573362977514
-0.01199900000000298,-4.71,0.17,-2.6,5.3826573362977514
-0.009993000000008578,-7.34,-0.97,-2.82,7.922682626484542
-0.00799300000001324,-7.34,-0.97,-2.82,7.922682626484542
-0.005998000000005277,-7.34,-0.97,-2.82,7.922682626484542
-0.003918000000012967,-7.34,-0.97,-2.82,7.922682626484542
-0.0019610000000085392,-7.34,-0.97,-2.82,7.922682626484542
0.0,-14.7,-4.9,-5.9,16.58041012761747
0.002000999999992814,-14.7,-4.9,-5.9,16.58041012761747
0.003999999999990678,-14.7,-4.9,-5.9,16.58041012761747
0.006000999999997703,-14.7,-4.9,-5.9,16.58041012761747
0.008043000000000688,-14.7,-4.9,-5.9,16.58041012761747
0.01006399999999985,-15.43,-9.17,-3.43,18.273989712156457
0.012064999999992665,-15.43,-9.17,-3.43,18.273989712156457
0.014062999999993053,-15.43,-9.17,-3.43,18.273989712156457
0.016040999999987093,-15.43,-9.17,-3.43,18.273989712156457
0.01804599999999823,-15.43,-9.17,-3.43,18.273989712156457
0.020068999999992343,-7.52,-15.88,-6.88,18.869530995761394
0.022044999999991433,-7.52,-15.88,-6.88,18.869530995761394
0.02401700000000062,-7.52,-15.88,-6.88,18.869530995761394
0.026002999999988674,-7.52,-15.88,-6.88,18.869530995761394
