timestamp,accX,accY,accZ
298984625,-0.28,0.82,0.43
298986558,-0.28,0.82,0.43
298988562,-0.27,0.82,0.43
298990565,-0.27,0.82,0.43
298992566,-0.27,0.82,0.43
298994567,-0.27,0.82,0.43
298996567,-0.27,0.82,0.43
298998575,-0.27,0.81,0.43
299000569,-0.27,0.81,0.43
299002647,-0.27,0.81,0.43
299004558,-0.27,0.81,0.43
299006565,-0.27,0.81,0.43
299008568,-0.27,0.81,0.44
299010611,-0.27,0.81,0.44
299012571,-0.27,0.81,0.44
299014576,-0.27,0.81,0.44
299016565,-0.27,0.81,0.44
299018566,-0.26,0.82,0.43
299020563,-0.26,0.82,0.43
299022566,-0.26,0.82,0.43
299024651,-0.26,0.82,0.43
299026707,-0.26,0.82,0.43
299028608,-0.27,0.82,0.43
299030607,-0.27,0.82,0.43
299032607,-0.27,0.82,0.43
299034604,-0.27,0.82,0.43
299036606,-0.27,0.82,0.43
299038566,-0.27,0.82,0.43
299040563,-0.26,0.82,0.44
299042567,-0.26,0.82,0.44
299044568,-0.26,0.82,0.44
299046566,-0.26,0.82,0.44
299048562,-0.26,0.82,0.44
299050563,-0.27,0.82,0.43
299052655,-0.27,0.82,0.43
299054568,-0.27,0.82,0.43
299056585,-0.27,0.82,0.43
299058562,-0.27,0.82,0.43
299060570,-0.27,0.82,0.43
299062602,-0.27,0.82,0.43
299064605,-0.27,0.82,0.43
299066603,-0.27,0.82,0.43
299068607,-0.27,0.82,0.43
299070605,-0.27,0.82,0.43
299072604,-0.27,0.82,0.43
299074605,-0.27,0.82,0.43
299076659,-0.27,0.82,0.43
299078578,-0.27,0.82,0.43
299080569,-0.27,0.81,0.43
299082568,-0.27,0.81,0.43
299084559,-0.27,0.81,0.43
299086563,-0.27,0.81,0.43
299088558,-0.27,0.81,0.43
299090559,-0.26,0.81,0.43
299092560,-0.26,0.81,0.43
299094569,-0.26,0.81,0.43
299096568,-0.26,0.81,0.43
299098582,-0.26,0.81,0.43
299100563,-0.26,0.81,0.43
299102641,-0.26,0.81,0.43
299104614,-0.26,0.81,0.43
299106607,-0.26,0.81,0.43
299108606,-0.26,0.81,0.43
299110607,-0.27,0.82,0.43
299112609,-0.27,0.82,0.43
299114612,-0.27,0.82,0.43
299116628,-0.27,0.82,0.43
299118603,-0.27,0.82,0.43
299120570,-0.27,0.82,0.43
299122560,-0.27,0.80,0.43
299124571,-0.27,0.80,0.43
299126673,-0.27,0.80,0.43
299128612,-0.27,0.80,0.43
299130561,-0.27,0.80,0.43
299132627,-0.27,0.81,0.43
299134614,-0.27,0.81,0.43
299136565,-0.27,0.81,0.43
299138558,-0.27,0.81,0.43
299140563,-0.27,0.81,0.43
299142559,-0.27,0.82,0.43
299144615,-0.27,0.82,0.43
299146606,-0.27,0.82,0.43
299148606,-0.27,0.82,0.43
299150606,-0.27,0.82,0.43
299152703,-0.26,0.81,0.43
299154609,-0.26,0.81,0.43
299156583,-0.26,0.81,0.43
299158563,-0.26,0.81,0.43
299160570,-0.26,0.81,0.43
299162601,-0.27,0.81,0.43
299164563,-0.27,0.81,0.43
299166559,-0.27,0.81,0.43
299168562,-0.27,0.81,0.43
299170562,-0.27,0.81,0.43
299172568,-0.27,0.82,0.43
299174563,-0.27,0.82,0.43
299176653,-0.27,0.82,0.43
299178571,-0.27,0.82,0.43
299180561,-0.27,0.82,0.43
299182569,-0.27,0.82,0.44
299184609,-0.27,0.82,0.44
299186605,-0.27,0.82,0.44
299188606,-0.27,0.82,0.44
299190607,-0.27,0.82,0.44
299192608,-0.27,0.82,0.44
299194605,-0.26,0.82,0.43
299196569,-0.26,0.82,0.43
299198577,-0.26,0.82,0.43
299200604,-0.26,0.82,0.43
299202780,-0.26,0.82,0.43
299204600,-0.27,0.80,0.43
299206561,-0.27,0.80,0.43
299208563,-0.27,0.80,0.43
299210558,-0.27,0.80,0.43
299212564,-0.27,0.80,0.43
299214607,-0.26,0.81,0.43
299216612,-0.26,0.81,0.43
299218563,-0.26,0.81,0.43
299220568,-0.26,0.81,0.43
299222563,-0.26,0.81,0.43
299224615,-0.26,0.82,0.42
299226704,-0.26,0.82,0.42
299228608,-0.26,0.82,0.42
299230603,-0.26,0.82,0.42
299232605,-0.26,0.82,0.42
299234603,-0.26,0.81,0.43
299236562,-0.26,0.81,0.43
299238566,-0.26,0.81,0.43
299240566,-0.26,0.81,0.43
299242568,-0.26,0.81,0.43
299244562,-0.26,0.82,0.42
