timestamp,accX,accY,accZ
3189363272,-0.97,0.13,-0.13
3189365229,-0.97,0.13,-0.13
3189367215,-0.97,0.13,-0.13
3189369208,-0.97,0.13,-0.13
3189371211,-0.97,0.13,-0.13
3189373209,-0.98,0.13,-0.14
3189375225,-0.98,0.13,-0.14
3189377213,-0.98,0.13,-0.14
3189379214,-0.98,0.13,-0.14
3189381326,-0.98,0.13,-0.14
3189383209,-0.98,0.15,-0.13
3189385210,-0.98,0.15,-0.13
3189387206,-0.98,0.15,-0.13
3189389216,-0.98,0.15,-0.13
3189391211,-0.98,0.15,-0.13
3189393207,-0.98,0.15,-0.13
3189395208,-0.98,0.17,-0.14
3189397207,-0.98,0.17,-0.14
3189399215,-0.98,0.17,-0.14
3189401217,-0.98,0.17,-0.14
3189403216,-0.98,0.17,-0.14
3189405291,-0.98,0.16,-0.16
3189407218,-0.98,0.16,-0.16
3189409215,-0.98,0.16,-0.16
3189411214,-0.98,0.16,-0.16
3189413206,-0.98,0.16,-0.16
3189415208,-0.97,0.13,-0.15
3189417207,-0.97,0.13,-0.15
3189419210,-0.97,0.13,-0.15
3189421207,-0.97,0.13,-0.15
3189423206,-0.97,0.13,-0.15
3189425214,-0.96,0.13,-0.15
3189427207,-0.96,0.13,-0.15
3189429215,-0.96,0.13,-0.15
3189431286,-0.96,0.13,-0.15
3189433208,-0.96,0.13,-0.15
3189435210,-0.98,0.13,-0.14
3189437210,-0.98,0.13,-0.14
3189439210,-0.98,0.13,-0.14
3189441220,-0.98,0.13,-0.14
3189443214,-0.98,0.13,-0.14
3189445208,-0.99,0.16,-0.12
3189447206,-0.99,0.16,-0.12
3189449206,-0.99,0.16,-0.12
3189451206,-0.99,0.16,-0.12
3189453211,-0.99,0.16,-0.12
3189455289,-0.98,0.15,-0.13
3189457215,-0.98,0.15,-0.13
3189459266,-0.98,0.15,-0.13
3189461221,-0.98,0.15,-0.13
3189463216,-0.98,0.15,-0.13
3189465229,-0.98,0.13,-0.13
3189467216,-0.98,0.13,-0.13
3189469209,-0.98,0.13,-0.13
3189471207,-0.98,0.13,-0.13
3189473212,-0.98,0.13,-0.13
3189475221,-0.98,0.13,-0.13
3189477215,-0.97,0.12,-0.14
3189479208,-0.97,0.12,-0.14
3189481324,-0.97,0.12,-0.14
3189483214,-0.97,0.12,-0.14
3189485208,-0.97,0.12,-0.14
3189487215,-0.97,0.13,-0.14
3189489212,-0.97,0.13,-0.14
3189491215,-0.97,0.13,-0.14
3189493215,-0.97,0.13,-0.14
3189495206,-0.97,0.13,-0.14
3189497215,-0.96,0.14,-0.14
3189499209,-0.96,0.14,-0.14
3189501211,-0.96,0.14,-0.14
3189503215,-0.96,0.14,-0.14
3189505293,-0.96,0.14,-0.14
3189507217,-0.97,0.14,-0.13
3189509213,-0.97,0.14,-0.13
3189511207,-0.97,0.14,-0.13
3189513215,-0.97,0.14,-0.13
3189515210,-0.97,0.14,-0.13
3189517214,-0.97,0.15,-0.15
3189519208,-0.97,0.15,-0.15
3189521215,-0.97,0.15,-0.15
3189523214,-0.97,0.15,-0.15
3189525207,-0.97,0.15,-0.15
3189527214,-0.99,0.16,-0.15
3189529208,-0.99,0.16,-0.15
3189531288,-0.99,0.16,-0.15
3189533218,-0.99,0.16,-0.15
3189535216,-0.99,0.16,-0.15
3189537208,-0.98,0.18,-0.15
3189539214,-0.98,0.18,-0.15
3189541211,-0.98,0.18,-0.15
3189543209,-0.98,0.18,-0.15
3189545209,-0.98,0.18,-0.15
3189547206,-0.98,0.20,-0.15
3189549210,-0.98,0.20,-0.15
3189551207,-0.98,0.20,-0.15
