timestamp,accX,accY,accZ
384900978,-0.97,0.14,-0.04
384902914,-0.97,0.14,-0.04
384904914,-0.97,0.14,-0.04
384906922,-0.97,0.14,-0.04
384908918,-0.97,0.14,-0.04
384910911,-0.97,0.14,-0.04
384913036,-0.96,0.10,-0.03
384914923,-0.96,0.10,-0.03
384916914,-0.96,0.10,-0.03
384918911,-0.96,0.10,-0.03
384920918,-0.96,0.10,-0.03
384922912,-1.00,0.10,-0.05
384924919,-1.00,0.10,-0.05
384926919,-1.00,0.10,-0.05
384928914,-1.00,0.10,-0.05
384930919,-1.00,0.10,-0.05
384932922,-1.02,0.14,-0.06
384934949,-1.02,0.14,-0.06
384936919,-1.02,0.14,-0.06
384939008,-1.02,0.14,-0.06
384940917,-1.02,0.14,-0.06
384942919,-1.00,0.20,-0.06
384944913,-1.00,0.20,-0.06
384946914,-1.00,0.20,-0.06
384948912,-1.00,0.20,-0.06
384950912,-1.00,0.20,-0.06
384952913,-0.99,0.21,-0.05
384954919,-0.99,0.21,-0.05
384956917,-0.99,0.21,-0.05
384958922,-0.99,0.21,-0.05
384960939,-0.99,0.21,-0.05
384963012,-1.00,0.18,-0.04
384964920,-1.00,0.18,-0.04
384966921,-1.00,0.18,-0.04
384968913,-1.00,0.18,-0.04
384970916,-1.00,0.18,-0.04
384972919,-0.99,0.16,-0.02
384974911,-0.99,0.16,-0.02
384976913,-0.99,0.16,-0.02
384978917,-0.99,0.16,-0.02
384980921,-0.99,0.16,-0.02
384982919,-0.98,0.15,-0.02
384984914,-0.98,0.15,-0.02
384986917,-0.98,0.15,-0.02
384989000,-0.98,0.15,-0.02
384990919,-0.98,0.15,-0.02
384992913,-0.98,0.15,-0.02
384994918,-0.99,0.15,-0.04
384996919,-0.99,0.15,-0.04
384998917,-0.99,0.15,-0.04
385000921,-0.99,0.15,-0.04
385002914,-0.99,0.15,-0.04
385004916,-0.99,0.12,-0.04
385006921,-0.99,0.12,-0.04
385008921,-0.99,0.12,-0.04
385010913,-0.99,0.12,-0.04
385012999,-0.99,0.12,-0.04
385014923,-0.99,0.12,-0.03
385016915,-0.99,0.12,-0.03
385018918,-0.99,0.12,-0.03
385020917,-0.99,0.12,-0.03
385022914,-0.99,0.12,-0.03
385024918,-0.98,0.12,-0.04
385026919,-0.98,0.12,-0.04
385028915,-0.98,0.12,-0.04
385030923,-0.98,0.12,-0.04
385032916,-0.98,0.12,-0.04
385034933,-0.98,0.12,-0.05
385036949,-0.98,0.12,-0.05
385039017,-0.98,0.12,-0.05
385040916,-0.98,0.12,-0.05
385042916,-0.98,0.12,-0.05
385044913,-0.98,0.14,-0.06
385046914,-0.98,0.14,-0.06
385048914,-0.98,0.14,-0.06
385050916,-0.98,0.14,-0.06
385052916,-0.98,0.14,-0.06
385054914,-0.98,0.12,-0.06
385056914,-0.98,0.12,-0.06
385058912,-0.98,0.12,-0.06
385060933,-0.98,0.12,-0.06
385063010,-0.98,0.12,-0.06
385064920,-0.98,0.11,-0.06
385066914,-0.98,0.11,-0.06
385068913,-0.98,0.11,-0.06
385070915,-0.98,0.11,-0.06
385072912,-0.98,0.11,-0.06
385074924,-0.98,0.11,-0.06
385076917,-0.97,0.11,-0.06
385078918,-0.97,0.11,-0.06
385080920,-0.97,0.11,-0.06
385082922,-0.97,0.11,-0.06
385084914,-0.97,0.11,-0.06
385086917,-0.98,0.11,-0.07
385089001,-0.98,0.11,-0.07
385090918,-0.98,0.11,-0.07
385092914,-0.98,0.11,-0.07
385094914,-0.98,0.11,-0.07
385096917,-0.98,0.10,-0.07
385098917,-0.98,0.10,-0.07
385100918,-0.98,0.10,-0.07
385102918,-0.98,0.10,-0.07
385104915,-0.98,0.10,-0.07
385106921,-0.97,0.08,-0.07
