timestamp,accX,accY,accZ
406073330,-1.01,0.06,-0.02
406075373,-1.01,0.06,-0.02
406077280,-1.01,0.06,-0.02
406079277,-1.01,0.06,-0.02
406081277,-1.01,0.07,-0.01
406083277,-1.01,0.07,-0.01
406085277,-1.01,0.07,-0.01
406087278,-1.01,0.07,-0.01
406089278,-1.01,0.07,-0.01
406091278,-1.02,0.07,-0.02
406093284,-1.02,0.07,-0.02
406095285,-1.02,0.07,-0.02
406097276,-1.02,0.07,-0.02
406099276,-1.02,0.07,-0.02
406101345,-1.01,0.06,-0.02
406103279,-1.01,0.06,-0.02
406105298,-1.01,0.06,-0.02
406107310,-1.01,0.06,-0.02
406109279,-1.01,0.06,-0.02
406111279,-1.01,0.07,-0.01
406113282,-1.01,0.07,-0.01
406115277,-1.01,0.07,-0.01
406117282,-1.01,0.07,-0.01
406119277,-1.01,0.07,-0.01
406121278,-1.01,0.06,-0.02
406179354,-1.01,0.06,-0.03
406181311,-1.01,0.06,-0.03
406183308,-1.01,0.06,-0.02
406185310,-1.01,0.06,-0.02
406187312,-1.01,0.06,-0.02
406189312,-1.01,0.06,-0.02
406191310,-1.01,0.06,-0.02
406193314,-1.01,0.05,-0.02
406195289,-1.01,0.05,-0.02
406197278,-1.01,0.05,-0.02
406199277,-1.01,0.05,-0.02
406201367,-1.01,0.05,-0.02
406203280,-1.00,0.05,-0.03
406205292,-1.00,0.05,-0.03
406207309,-1.00,0.05,-0.03
406209275,-1.00,0.05,-0.03
406211275,-1.00,0.05,-0.03
406213278,-1.02,0.07,-0.03
406215276,-1.02,0.07,-0.03
406217276,-1.02,0.07,-0.03
406219314,-1.02,0.07,-0.03
406221311,-1.02,0.07,-0.03
406223307,-1.02,0.09,-0.04
406225396,-1.02,0.09,-0.04
406227310,-1.02,0.09,-0.04
406229310,-1.02,0.09,-0.04
406231274,-1.02,0.09,-0.04
406233278,-1.02,0.09,-0.04
406235275,-1.02,0.09,-0.04
406237273,-1.02,0.09,-0.04
406239275,-1.02,0.09,-0.04
406241274,-1.02,0.09,-0.04
406243276,-1.02,0.07,-0.05
406245274,-1.02,0.07,-0.05
406247273,-1.02,0.07,-0.05
406249273,-1.02,0.07,-0.05
406251356,-1.02,0.07,-0.05
406253276,-1.02,0.07,-0.03
406255272,-1.02,0.07,-0.03
406257276,-1.02,0.07,-0.03
406259349,-1.02,0.07,-0.03
406261353,-1.02,0.07,-0.03
406263327,-1.02,0.07,-0.03
406265312,-1.02,0.07,-0.03
406267311,-1.02,0.07,-0.03
406269312,-1.02,0.07,-0.03
406271310,-1.02,0.07,-0.03
406273310,-1.02,0.07,-0.03
406275389,-1.02,0.08,-0.03
406277281,-1.02,0.08,-0.03
406279274,-1.02,0.08,-0.03
406281275,-1.02,0.08,-0.03
406283276,-1.02,0.08,-0.03
406285279,-1.01,0.08,-0.03
406287275,-1.01,0.08,-0.03
406289275,-1.01,0.08,-0.03
406291273,-1.01,0.08,-0.03
406293275,-1.01,0.08,-0.03
406295275,-1.00,0.10,-0.02
406297274,-1.00,0.10,-0.02
406299310,-1.00,0.10,-0.02
406301396,-1.00,0.10,-0.02
406303308,-1.00,0.10,-0.02
406305315,-1.02,0.08,-0.04
406307327,-1.02,0.08,-0.04
406309308,-1.02,0.08,-0.04
406311311,-1.02,0.08,-0.04
406313278,-1.02,0.08,-0.04
406315277,-1.02,0.06,-0.05
406317277,-1.02,0.06,-0.05
406319274,-1.02,0.06,-0.05
406321278,-1.02,0.06,-0.05
406323278,-1.02,0.06,-0.05
406325363,-1.02,0.04,-0.06
406327281,-1.02,0.04,-0.06
406329274,-1.02,0.04,-0.06
406331274,-1.02,0.04,-0.06
406333275,-1.02,0.04,-0.06
406335275,-1.02,0.04,-0.04
406337274,-1.02,0.04,-0.04
406339312,-1.02,0.04,-0.04
406341308,-1.02,0.04,-0.04
406343309,-1.02,0.04,-0.04
406345312,-1.00,0.02,-0.03
406347329,-1.00,0.02,-0.03
406349324,-1.00,0.02,-0.03
406351448,-1.00,0.02,-0.03
406353321,-1.00,0.02,-0.03
406355273,-0.99,0.02,-0.02
406357275,-0.99,0.02,-0.02
406359277,-0.99,0.02,-0.02
406361306,-0.99,0.02,-0.02
406363319,-0.99,0.02,-0.02
406365276,-0.98,0.03,-0.00
406367274,-0.98,0.03,-0.00
406369275,-0.98,0.03,-0.00
406371276,-0.98,0.03,-0.00
406373277,-0.98,0.03,-0.00
406375372,-1.00,0.06,0.00
406377280,-1.00,0.06,0.00
406379320,-1.00,0.06,0.00
406381308,-1.00,0.06,0.00
406383311,-1.00,0.06,0.00
406385309,-1.00,0.06,0.00
406387310,-1.04,0.08,0.02
406389309,-1.04,0.08,0.02
406391275,-1.04,0.08,0.02
406393276,-1.04,0.08,0.02
406395277,-1.04,0.08,0.02
406397286,-1.06,0.14,0.02
406399274,-1.06,0.14,0.02
406401361,-1.06,0.14,0.02
406403278,-1.06,0.14,0.02
406405292,-1.06,0.14,0.02
406407313,-1.06,0.11,-0.01
406409275,-1.06,0.11,-0.01
406411277,-1.06,0.11,-0.01
406413278,-1.06,0.11,-0.01
406415274,-1.06,0.11,-0.01
406417276,-1.04,0.05,-0.04
406419313,-1.04,0.05,-0.04
406421311,-1.04,0.05,-0.04
406423312,-1.04,0.05,-0.04
406425400,-1.04,0.05,-0.04
406427311,-1.01,0.00,-0.03
406429307,-1.01,0.00,-0.03
406431276,-1.01,0.00,-0.03
406433274,-1.01,0.00,-0.03
406435275,-1.01,0.00,-0.03
406437276,-1.00,-0.03,-0.02
406439278,-1.00,-0.03,-0.02
406441274,-1.00,-0.03,-0.02
406443276,-1.00,-0.03,-0.02
406445275,-1.00,-0.03,-0.02
406447271,-1.00,-0.02,-0.02
406449275,-1.00,-0.02,-0.02
406451354,-1.00,-0.02,-0.02
