timestamp,accX,accY,accZ
722664628,-1.00,0.13,-0.18
722666580,-1.00,0.13,-0.18
722668576,-1.02,0.13,-0.18
722670576,-1.02,0.13,-0.18
722672576,-1.02,0.13,-0.18
722674580,-1.02,0.13,-0.18
722676663,-1.02,0.13,-0.18
722678577,-1.02,0.14,-0.17
722680576,-1.02,0.14,-0.17
722682579,-1.02,0.14,-0.17
722684588,-1.02,0.14,-0.17
722686584,-1.02,0.14,-0.17
722688604,-1.02,0.12,-0.16
722690576,-1.02,0.12,-0.16
722692586,-1.02,0.12,-0.16
722694578,-1.02,0.12,-0.16
722696583,-1.02,0.12,-0.16
722698576,-1.02,0.11,-0.16
722700576,-1.02,0.11,-0.16
722702651,-1.02,0.11,-0.16
722704597,-1.02,0.11,-0.16
722706577,-1.02,0.11,-0.16
722708586,-1.01,0.10,-0.17
722710580,-1.01,0.10,-0.17
722712578,-1.01,0.10,-0.17
722770657,-1.00,0.14,-0.18
722772616,-1.00,0.14,-0.18
722774609,-1.00,0.14,-0.18
722776708,-1.00,0.14,-0.18
722778612,-1.00,0.14,-0.18
722780611,-1.01,0.15,-0.18
722782613,-1.01,0.15,-0.18
722784612,-1.01,0.15,-0.18
722786612,-1.01,0.15,-0.18
722788608,-1.01,0.15,-0.18
722790573,-1.02,0.13,-0.16
722792576,-1.02,0.13,-0.16
722794573,-1.02,0.13,-0.16
722796584,-1.02,0.13,-0.16
722798579,-1.02,0.13,-0.16
722800576,-1.02,0.13,-0.16
722802669,-1.01,0.12,-0.16
722804592,-1.01,0.12,-0.16
722806577,-1.01,0.12,-0.16
722808575,-1.01,0.12,-0.16
722810620,-1.01,0.12,-0.16
722812610,-0.99,0.12,-0.15
722814610,-0.99,0.12,-0.15
722816612,-0.99,0.12,-0.15
722818611,-0.99,0.12,-0.15
722820610,-0.99,0.12,-0.15
722822594,-0.98,0.11,-0.15
722824579,-0.98,0.11,-0.15
722826665,-0.98,0.11,-0.15
722828583,-0.98,0.11,-0.15
722830572,-0.98,0.11,-0.15
722832577,-0.99,0.12,-0.14
722834578,-0.99,0.12,-0.14
722836572,-0.99,0.12,-0.14
722838577,-0.99,0.12,-0.14
722840574,-0.99,0.12,-0.14
722842575,-0.99,0.15,-0.14
722844574,-0.99,0.15,-0.14
722846574,-0.99,0.15,-0.14
722848607,-0.99,0.15,-0.14
722850641,-0.99,0.15,-0.14
722852736,-0.96,0.17,-0.14
722854611,-0.96,0.17,-0.14
722856609,-0.96,0.17,-0.14
722858686,-0.96,0.17,-0.14
722860616,-0.96,0.17,-0.14
722862611,-0.97,0.17,-0.14
722864611,-0.97,0.17,-0.14
722866652,-0.97,0.17,-0.14
722868609,-0.97,0.17,-0.14
722870575,-0.97,0.17,-0.14
