timestamp,accX,accY,accZ
497415331,-1.00,0.17,-0.15
497417281,-1.00,0.17,-0.15
497419286,-1.00,0.17,-0.15
497421278,-1.00,0.17,-0.15
497423277,-1.00,0.18,-0.15
497425368,-1.00,0.18,-0.15
497427280,-1.00,0.18,-0.15
497429278,-1.00,0.18,-0.15
497431277,-1.00,0.18,-0.15
497433278,-1.00,0.18,-0.15
497435282,-1.00,0.18,-0.15
497437282,-1.00,0.18,-0.15
497439275,-1.00,0.18,-0.15
497441276,-1.00,0.18,-0.15
497443280,-1.00,0.19,-0.15
497445276,-1.00,0.19,-0.15
497447283,-1.00,0.19,-0.15
497449277,-1.00,0.19,-0.15
497451341,-1.00,0.19,-0.15
497453279,-1.00,0.19,-0.16
497455283,-1.00,0.19,-0.16
497457277,-1.00,0.19,-0.16
497459283,-1.00,0.19,-0.16
497461276,-1.00,0.19,-0.16
497463278,-1.00,0.19,-0.16
497521358,-1.00,0.18,-0.15
497523315,-1.00,0.18,-0.15
497525404,-0.99,0.19,-0.15
497527314,-0.99,0.19,-0.15
497529310,-0.99,0.19,-0.15
497531309,-0.99,0.19,-0.15
497533310,-0.99,0.19,-0.15
497535309,-1.01,0.18,-0.15
497537308,-1.01,0.18,-0.15
497539275,-1.01,0.18,-0.15
497541278,-1.01,0.18,-0.15
497543275,-1.01,0.18,-0.15
497545275,-1.00,0.18,-0.16
497547274,-1.00,0.18,-0.16
497549277,-1.00,0.18,-0.16
497551365,-1.00,0.18,-0.16
497553277,-1.00,0.18,-0.16
497555275,-1.00,0.19,-0.16
497557274,-1.00,0.19,-0.16
497559272,-1.00,0.19,-0.16
497561312,-1.00,0.19,-0.16
497563310,-1.00,0.19,-0.16
497565311,-1.00,0.18,-0.16
497567312,-1.00,0.18,-0.16
497569312,-1.00,0.18,-0.16
497571311,-1.00,0.18,-0.16
497573278,-1.00,0.18,-0.16
497575363,-1.00,0.18,-0.16
497577280,-1.00,0.18,-0.16
497579275,-1.00,0.18,-0.16
497581276,-1.00,0.18,-0.16
497583305,-1.00,0.18,-0.16
497585276,-0.99,0.18,-0.16
497587274,-0.99,0.18,-0.16
497589274,-0.99,0.18,-0.16
497591273,-0.99,0.18,-0.16
497593274,-0.99,0.18,-0.16
497595275,-0.99,0.18,-0.16
497597276,-1.00,0.19,-0.16
