timestamp,accX,accY,accZ
160005982,-0.90,0.05,-0.16
160007922,-0.90,0.05,-0.16
160009910,-0.90,0.05,-0.16
160011914,-0.90,0.05,-0.16
160014033,-0.94,0.06,-0.15
160015919,-0.94,0.06,-0.15
160017911,-0.94,0.06,-0.15
160019914,-0.94,0.06,-0.15
160021918,-0.94,0.06,-0.15
160023910,-0.96,0.07,-0.16
160025910,-0.96,0.07,-0.16
160027915,-0.96,0.07,-0.16
160029911,-0.96,0.07,-0.16
160031912,-0.96,0.07,-0.16
160033911,-0.97,0.09,-0.16
160035911,-0.97,0.09,-0.16
160038001,-0.97,0.09,-0.16
160039923,-0.97,0.09,-0.16
160041915,-0.97,0.09,-0.16
160043919,-0.92,0.07,-0.20
160045913,-0.92,0.07,-0.20
160047919,-0.92,0.07,-0.20
160049914,-0.92,0.07,-0.20
160051912,-0.92,0.07,-0.20
160053913,-0.92,0.08,-0.19
160055913,-0.92,0.08,-0.19
160057919,-0.92,0.08,-0.19
160059913,-0.92,0.08,-0.19
160061912,-0.92,0.08,-0.19
160064062,-0.94,0.16,-0.18
160065924,-0.94,0.16,-0.18
160067912,-0.94,0.16,-0.18
160069919,-0.94,0.16,-0.18
160071915,-0.94,0.16,-0.18
160073944,-0.99,0.21,-0.15
160075914,-0.99,0.21,-0.15
160077912,-0.99,0.21,-0.15
160079913,-0.99,0.21,-0.15
160081920,-0.99,0.21,-0.15
160083918,-0.99,0.21,-0.15
160085911,-1.06,0.23,-0.13
160088014,-1.06,0.23,-0.13
160089921,-1.06,0.23,-0.13
160091911,-1.06,0.23,-0.13
160093913,-1.06,0.23,-0.13
160095914,-1.09,0.23,-0.14
160097913,-1.09,0.23,-0.14
160099911,-1.09,0.23,-0.14
160101911,-1.09,0.23,-0.14
160103914,-1.09,0.23,-0.14
160105920,-1.04,0.20,-0.14
160107919,-1.04,0.20,-0.14
160109913,-1.04,0.20,-0.14
160111919,-1.04,0.20,-0.14
160113996,-1.04,0.20,-0.14
160115918,-0.99,0.15,-0.14
160117912,-0.99,0.15,-0.14
160119911,-0.99,0.15,-0.14
160121918,-0.99,0.15,-0.14
160123913,-0.99,0.15,-0.14
160125913,-0.97,0.20,-0.12
160127913,-0.97,0.20,-0.12
160129911,-0.97,0.20,-0.12
160131911,-0.97,0.20,-0.12
160133919,-0.97,0.20,-0.12
160135910,-0.98,0.25,-0.12
160137999,-0.98,0.25,-0.12
160139922,-0.98,0.25,-0.12
160141919,-0.98,0.25,-0.12
160143919,-0.98,0.25,-0.12
160145913,-1.00,0.27,-0.07
160147919,-1.00,0.27,-0.07
160149912,-1.00,0.27,-0.07
160151918,-1.00,0.27,-0.07
160153919,-1.00,0.27,-0.07
160155913,-0.98,0.25,-0.10
160157918,-0.98,0.25,-0.10
160159912,-0.98,0.25,-0.10
160161910,-0.98,0.25,-0.10
160163991,-0.98,0.25,-0.10
160165920,-0.98,0.25,-0.10
160167947,-0.97,0.10,-0.10
160169918,-0.97,0.10,-0.10
160171916,-0.97,0.10,-0.10
160173938,-0.97,0.10,-0.10
160175914,-0.97,0.10,-0.10
160177918,-0.98,0.02,-0.12
160179918,-0.98,0.02,-0.12
160181916,-0.98,0.02,-0.12
160183915,-0.98,0.02,-0.12
160185913,-0.98,0.02,-0.12
160188016,-0.98,0.00,-0.15
160189923,-0.98,0.00,-0.15
160191920,-0.98,0.00,-0.15
160193916,-0.98,0.00,-0.15
160195914,-0.98,0.00,-0.15
160197913,-0.97,0.01,-0.18
160199918,-0.97,0.01,-0.18
160201912,-0.97,0.01,-0.18
160203914,-0.97,0.01,-0.18
160205918,-0.97,0.01,-0.18
160207923,-0.97,0.02,-0.20
160209914,-0.97,0.02,-0.20
160211919,-0.97,0.02,-0.20
160214000,-0.97,0.02,-0.20
160215920,-0.97,0.02,-0.20
160217913,-0.99,0.06,-0.19
160219918,-0.99,0.06,-0.19
160221918,-0.99,0.06,-0.19
160223912,-0.99,0.06,-0.19
160225920,-0.99,0.06,-0.19
160227918,-0.99,0.09,-0.16
160229914,-0.99,0.09,-0.16
160231919,-0.99,0.09,-0.16
160233912,-0.99,0.09,-0.16
160235920,-0.99,0.09,-0.16
160237993,-0.97,0.10,-0.14
160239921,-0.97,0.10,-0.14
160241920,-0.97,0.10,-0.14
160243915,-0.97,0.10,-0.14
160245917,-0.97,0.10,-0.14
160247918,-0.97,0.10,-0.14
160249913,-0.98,0.10,-0.16
160251919,-0.98,0.10,-0.16
160253912,-0.98,0.10,-0.16
160255919,-0.98,0.10,-0.16
160257920,-0.98,0.10,-0.16
160259914,-1.00,0.09,-0.18
160261918,-1.00,0.09,-0.18
160263994,-1.00,0.09,-0.18
160265920,-1.00,0.09,-0.18
160267933,-1.00,0.09,-0.18
160269957,-1.00,0.11,-0.18
160271927,-1.00,0.11,-0.18
160273935,-1.00,0.11,-0.18
160275911,-1.00,0.11,-0.18
160277916,-1.00,0.11,-0.18
160279914,-0.98,0.14,-0.21
160281918,-0.98,0.14,-0.21
160283912,-0.98,0.14,-0.21
160285913,-0.98,0.14,-0.21
160288021,-0.98,0.14,-0.21
160289923,-0.97,0.12,-0.24
160291914,-0.97,0.12,-0.24
160293912,-0.97,0.12,-0.24
160295910,-0.97,0.12,-0.24
160297918,-0.97,0.12,-0.24
160299910,-0.97,0.09,-0.23
160301915,-0.97,0.09,-0.23
160303918,-0.97,0.09,-0.23
160305912,-0.97,0.09,-0.23
160307921,-0.97,0.09,-0.23
160309914,-0.98,0.09,-0.23
160311911,-0.98,0.09,-0.23
160313996,-0.98,0.09,-0.23
160315915,-0.98,0.09,-0.23
160317913,-0.98,0.09,-0.23
160319918,-1.00,0.14,-0.22
160321919,-1.00,0.14,-0.22
160323910,-1.00,0.14,-0.22
160325917,-1.00,0.14,-0.22
160327910,-1.00,0.14,-0.22
160329919,-1.01,0.17,-0.25
160331918,-1.01,0.17,-0.25
160333912,-1.01,0.17,-0.25
160335911,-1.01,0.17,-0.25
160337994,-1.01,0.17,-0.25
160339920,-1.01,0.17,-0.25
160341911,-0.99,0.14,-0.29
160343916,-0.99,0.14,-0.29
160345912,-0.99,0.14,-0.29
160347919,-0.99,0.14,-0.29
160349913,-0.99,0.14,-0.29
160351912,-0.95,0.06,-0.30
160353919,-0.95,0.06,-0.30
160355911,-0.95,0.06,-0.30
160357918,-0.95,0.06,-0.30
160359920,-0.95,0.06,-0.30
160361913,-0.94,-0.01,-0.27
160363991,-0.94,-0.01,-0.27
160365920,-0.94,-0.01,-0.27
160367915,-0.94,-0.01,-0.27
160369916,-0.94,-0.01,-0.27
160371964,-0.96,-0.04,-0.27
160373940,-0.96,-0.04,-0.27
160375919,-0.96,-0.04,-0.27
160377914,-0.96,-0.04,-0.27
160379911,-0.96,-0.04,-0.27
160381919,-0.96,-0.07,-0.26
160383914,-0.96,-0.07,-0.26
160385919,-0.96,-0.07,-0.26
160388026,-0.96,-0.07,-0.26
160389922,-0.96,-0.07,-0.26
160391914,-0.95,-0.11,-0.21
160393920,-0.95,-0.11,-0.21
160395912,-0.95,-0.11,-0.21
160397920,-0.95,-0.11,-0.21
160399915,-0.95,-0.11,-0.21
160401916,-0.97,-0.09,-0.17
160403919,-0.97,-0.09,-0.17
160405918,-0.97,-0.09,-0.17
160407924,-0.97,-0.09,-0.17
160409914,-0.97,-0.09,-0.17
160411911,-0.98,-0.04,-0.19
160413999,-0.98,-0.04,-0.19
160415920,-0.98,-0.04,-0.19
160417911,-0.98,-0.04,-0.19
160419919,-0.98,-0.04,-0.19
160421918,-0.98,-0.04,-0.19
160423913,-0.97,-0.03,-0.22
160425919,-0.97,-0.03,-0.22
160427912,-0.97,-0.03,-0.22
160429911,-0.97,-0.03,-0.22
160431912,-0.97,-0.03,-0.22
160433917,-0.96,-0.11,-0.26
160435913,-0.96,-0.11,-0.26
160437993,-0.96,-0.11,-0.26
160439923,-0.96,-0.11,-0.26
160441914,-0.96,-0.11,-0.26
160443911,-0.95,-0.23,-0.27
160445917,-0.95,-0.23,-0.27
160447911,-0.95,-0.23,-0.27
160449913,-0.95,-0.23,-0.27
160451911,-0.95,-0.23,-0.27
160453920,-0.96,-0.21,-0.24
160455913,-0.96,-0.21,-0.24
160457913,-0.96,-0.21,-0.24
160459911,-0.96,-0.21,-0.24
160461912,-0.96,-0.21,-0.24
160463992,-0.98,-0.09,-0.25
160465914,-0.98,-0.09,-0.25
160467914,-0.98,-0.09,-0.25
160469918,-0.98,-0.09,-0.25
160471914,-0.98,-0.09,-0.25
160473966,-0.98,-0.02,-0.28
160475919,-0.98,-0.02,-0.28
160477917,-0.98,-0.02,-0.28
160479911,-0.98,-0.02,-0.28
160481910,-0.98,-0.02,-0.28
160483918,-0.97,-0.09,-0.32
160485913,-0.97,-0.09,-0.32
160488016,-0.97,-0.09,-0.32
160489920,-0.97,-0.09,-0.32
160491912,-0.97,-0.09,-0.32
160493914,-0.97,-0.14,-0.32
160495911,-0.97,-0.14,-0.32
160497923,-0.97,-0.14,-0.32
160499914,-0.97,-0.14,-0.32
160501919,-0.97,-0.14,-0.32
160503918,-0.97,-0.14,-0.32
160505914,-0.98,-0.09,-0.32
160507921,-0.98,-0.09,-0.32
160509918,-0.98,-0.09,-0.32
160511914,-0.98,-0.09,-0.32
160513999,-0.98,-0.09,-0.32
160515920,-0.99,-0.04,-0.34
160517918,-0.99,-0.04,-0.34
160519913,-0.99,-0.04,-0.34
160521922,-0.99,-0.04,-0.34
160523914,-0.99,-0.04,-0.34
160525919,-0.99,-0.11,-0.37
160527919,-0.99,-0.11,-0.37
160529911,-0.99,-0.11,-0.37
160531912,-0.99,-0.11,-0.37
160533917,-0.99,-0.11,-0.37
160535914,-0.98,-0.16,-0.34
160537997,-0.98,-0.16,-0.34
160539919,-0.98,-0.16,-0.34
160541919,-0.98,-0.16,-0.34
160543912,-0.98,-0.16,-0.34
160545913,-0.96,-0.10,-0.35
160547911,-0.96,-0.10,-0.35
160549919,-0.96,-0.10,-0.35
160551912,-0.96,-0.10,-0.35
160553919,-0.96,-0.10,-0.35
160555919,-0.98,-0.11,-0.32
160557917,-0.98,-0.11,-0.32
160559917,-0.98,-0.11,-0.32
160561913,-0.98,-0.11,-0.32
160563988,-0.98,-0.11,-0.32
160565914,-0.98,-0.21,-0.31
160567910,-0.98,-0.21,-0.31
160569917,-0.98,-0.21,-0.31
160571914,-0.98,-0.21,-0.31
160573932,-0.98,-0.21,-0.31
160575953,-0.94,-0.23,-0.33
160577919,-0.94,-0.23,-0.33
160579913,-0.94,-0.23,-0.33
160581916,-0.94,-0.23,-0.33
