timestamp,accX,accY,accZ
1687734002,-0.99,0.25,-0.10
1687735962,-0.99,0.25,-0.10
1687737953,-0.99,0.25,-0.10
1687739953,-0.99,0.25,-0.10
1687741952,-0.99,0.25,-0.10
1687743950,-0.99,0.24,-0.10
1687745950,-0.99,0.24,-0.10
1687747953,-0.99,0.24,-0.10
1687749953,-0.99,0.24,-0.10
1687751950,-0.99,0.24,-0.10
1687753955,-1.00,0.24,-0.09
1687756072,-1.00,0.24,-0.09
1687757956,-1.00,0.24,-0.09
1687759950,-1.00,0.24,-0.09
1687761958,-1.00,0.24,-0.09
1687763951,-0.99,0.24,-0.08
1687765957,-0.99,0.24,-0.08
1687767949,-0.99,0.24,-0.08
1687769954,-0.99,0.24,-0.08
1687771952,-0.99,0.24,-0.08
1687773955,-1.00,0.25,-0.08
1687775948,-1.00,0.25,-0.08
1687777954,-1.00,0.25,-0.08
1687779948,-1.00,0.25,-0.08
1687782016,-1.00,0.25,-0.08
1687840034,-1.00,0.22,-0.10
1687841989,-1.00,0.22,-0.10
1687843985,-1.00,0.22,-0.10
1687845983,-1.00,0.23,-0.08
1687847985,-1.00,0.23,-0.08
1687849982,-1.00,0.23,-0.08
1687851982,-1.00,0.23,-0.08
1687853985,-1.00,0.23,-0.08
1687856071,-1.00,0.24,-0.08
1687857947,-1.00,0.24,-0.08
1687859948,-1.00,0.24,-0.08
1687861946,-1.00,0.24,-0.08
1687863945,-1.00,0.24,-0.08
1687865942,-1.00,0.23,-0.09
1687867944,-1.00,0.23,-0.09
1687869948,-1.00,0.23,-0.09
1687871945,-1.00,0.23,-0.09
1687873944,-1.00,0.23,-0.09
1687875941,-0.99,0.22,-0.10
1687877944,-0.99,0.22,-0.10
1687879987,-0.99,0.22,-0.10
1687882069,-0.99,0.22,-0.10
1687883985,-0.99,0.22,-0.10
1687885985,-0.99,0.21,-0.10
1687887982,-0.99,0.21,-0.10
1687889986,-0.99,0.21,-0.10
1687891948,-0.99,0.21,-0.10
1687893948,-0.99,0.21,-0.10
1687895940,-1.00,0.21,-0.10
1687897947,-1.00,0.21,-0.10
1687899946,-1.00,0.21,-0.10
1687901964,-1.00,0.21,-0.10
1687903963,-1.00,0.21,-0.10
1687906029,-1.00,0.21,-0.10
1687907951,-1.00,0.21,-0.10
1687909946,-1.00,0.21,-0.10
1687911950,-1.00,0.21,-0.10
1687913946,-1.00,0.21,-0.10
1687915942,-1.00,0.22,-0.09
1687917941,-1.00,0.22,-0.09
1687920019,-1.00,0.22,-0.09
1687921999,-1.00,0.22,-0.09
1687923983,-1.00,0.22,-0.09
1687926005,-1.00,0.22,-0.10
1687927984,-1.00,0.22,-0.10
1687929983,-1.00,0.22,-0.10
1687932096,-1.00,0.22,-0.10
1687934027,-1.00,0.22,-0.10
