timestamp,accX,accY,accZ
633322279,-0.99,-0.11,-0.22
633324216,-0.99,-0.11,-0.22
633326207,-0.97,-0.11,-0.21
633328208,-0.97,-0.11,-0.21
633330324,-0.97,-0.11,-0.21
633332217,-0.97,-0.11,-0.21
633334209,-0.97,-0.11,-0.21
633336213,-0.97,-0.09,-0.21
633338209,-0.97,-0.09,-0.21
633340219,-0.97,-0.09,-0.21
633342209,-0.97,-0.09,-0.21
633344207,-0.97,-0.09,-0.21
633346209,-0.99,-0.09,-0.20
633348209,-0.99,-0.09,-0.20
633350208,-0.99,-0.09,-0.20
633352211,-0.99,-0.09,-0.20
633354208,-0.99,-0.09,-0.20
633356286,-1.00,-0.07,-0.18
633358217,-1.00,-0.07,-0.18
633360208,-1.00,-0.07,-0.18
633362215,-1.00,-0.07,-0.18
633364207,-1.00,-0.07,-0.18
633366215,-1.00,-0.05,-0.18
633368207,-1.00,-0.05,-0.18
633370206,-1.00,-0.05,-0.18
633372210,-1.00,-0.05,-0.18
633374218,-1.00,-0.05,-0.18
633376208,-1.00,-0.05,-0.18
633378208,-1.00,-0.04,-0.18
633380298,-1.00,-0.04,-0.18
633382214,-1.00,-0.04,-0.18
633384209,-1.00,-0.04,-0.18
633386206,-1.00,-0.04,-0.18
633388211,-1.00,-0.03,-0.19
633390206,-1.00,-0.03,-0.19
633392207,-1.00,-0.03,-0.19
633394210,-1.00,-0.03,-0.19
633396215,-1.00,-0.03,-0.19
633398208,-0.98,0.00,-0.19
633400207,-0.98,0.00,-0.19
633402215,-0.98,0.00,-0.19
633404207,-0.98,0.00,-0.19
633406285,-0.98,0.00,-0.19
633408214,-0.98,-0.00,-0.20
633410211,-0.98,-0.00,-0.20
633412207,-0.98,-0.00,-0.20
633414208,-0.98,-0.00,-0.20
633416207,-0.98,-0.00,-0.20
633418247,-0.98,-0.02,-0.20
633420217,-0.98,-0.02,-0.20
633422237,-0.98,-0.02,-0.20
633424217,-0.98,-0.02,-0.20
633426210,-0.98,-0.02,-0.20
633428215,-0.96,-0.01,-0.20
633430311,-0.96,-0.01,-0.20
633432220,-0.96,-0.01,-0.20
633434210,-0.96,-0.01,-0.20
633436210,-0.96,-0.01,-0.20
633438216,-0.96,-0.01,-0.23
633440215,-0.96,-0.01,-0.23
633442214,-0.96,-0.01,-0.23
633444207,-0.96,-0.01,-0.23
633446210,-0.96,-0.01,-0.23
633448209,-0.98,-0.02,-0.23
633450216,-0.98,-0.02,-0.23
633452215,-0.98,-0.02,-0.23
633454209,-0.98,-0.02,-0.23
633456292,-0.98,-0.02,-0.23
633458215,-0.98,-0.04,-0.22
633460215,-0.98,-0.04,-0.22
633462216,-0.98,-0.04,-0.22
633464215,-0.98,-0.04,-0.22
633466214,-0.98,-0.04,-0.22
633468207,-0.96,-0.06,-0.22
633470216,-0.96,-0.06,-0.22
633472212,-0.96,-0.06,-0.22
633474219,-0.96,-0.06,-0.22
633476208,-0.96,-0.06,-0.22
633478208,-0.96,-0.06,-0.22
633480297,-0.96,-0.06,-0.21
633482216,-0.96,-0.06,-0.21
633484217,-0.96,-0.06,-0.21
633486215,-0.96,-0.06,-0.21
633488208,-0.96,-0.06,-0.21
633490217,-0.98,-0.08,-0.23
633492208,-0.98,-0.08,-0.23
633494208,-0.98,-0.08,-0.23
633496214,-0.98,-0.08,-0.23
633498206,-0.98,-0.08,-0.23
633500210,-0.99,-0.10,-0.23
633502209,-0.99,-0.10,-0.23
633504215,-0.99,-0.10,-0.23
633506285,-0.99,-0.10,-0.23
633508216,-0.99,-0.10,-0.23
633510209,-0.96,-0.11,-0.23
633512207,-0.96,-0.11,-0.23
633514209,-0.96,-0.11,-0.23
633516215,-0.96,-0.11,-0.23
633518212,-0.96,-0.11,-0.23
633520257,-0.95,-0.16,-0.23
