timestamp,accX,accY,accZ
563327730,-1.02,0.00,-0.20
563329579,-1.02,0.00,-0.20
563331580,-1.02,0.00,-0.20
563333577,-1.02,0.00,-0.20
563335577,-1.01,0.00,-0.20
563337576,-1.01,0.00,-0.20
563339580,-1.01,0.00,-0.20
563341576,-1.01,0.00,-0.20
563343577,-1.01,0.00,-0.20
563345577,-1.01,0.00,-0.20
563347605,-1.00,-0.02,-0.20
563349583,-1.00,-0.02,-0.20
563351656,-1.00,-0.02,-0.20
563353583,-1.00,-0.02,-0.20
563355583,-1.00,-0.02,-0.20
563357574,-1.00,-0.02,-0.20
563359584,-1.00,-0.02,-0.20
563361577,-1.00,-0.02,-0.20
563363576,-1.00,-0.02,-0.20
563365577,-1.00,-0.02,-0.20
563367586,-0.99,0.00,-0.18
563369577,-0.99,0.00,-0.18
563371583,-0.99,0.00,-0.18
563373579,-0.99,0.00,-0.18
563375576,-0.99,0.00,-0.18
563433660,-1.00,-0.04,-0.22
563435615,-1.00,-0.04,-0.22
563437611,-1.00,-0.04,-0.22
563439612,-1.01,0.00,-0.21
563441610,-1.01,0.00,-0.21
563443612,-1.01,0.00,-0.21
563445611,-1.01,0.00,-0.21
563447616,-1.01,0.00,-0.21
563449610,-1.02,0.02,-0.19
563451664,-1.02,0.02,-0.19
563453583,-1.02,0.02,-0.19
563455570,-1.02,0.02,-0.19
563457569,-1.02,0.02,-0.19
563459568,-1.02,-0.02,-0.20
563461573,-1.02,-0.02,-0.20
563463575,-1.02,-0.02,-0.20
563465575,-1.02,-0.02,-0.20
563467572,-1.02,-0.02,-0.20
563469573,-0.99,-0.06,-0.20
563471575,-0.99,-0.06,-0.20
563473612,-0.99,-0.06,-0.20
563475611,-0.99,-0.06,-0.20
563477695,-0.99,-0.06,-0.20
563479611,-0.98,-0.06,-0.22
563481613,-0.98,-0.06,-0.22
563483610,-0.98,-0.06,-0.22
563485573,-0.98,-0.06,-0.22
563487572,-0.98,-0.06,-0.22
563489589,-0.99,-0.07,-0.23
563491573,-0.99,-0.07,-0.23
563493589,-0.99,-0.07,-0.23
563495574,-0.99,-0.07,-0.23
563497570,-0.99,-0.07,-0.23
563499573,-0.98,-0.09,-0.22
563501658,-0.98,-0.09,-0.22
563503586,-0.98,-0.09,-0.22
563505574,-0.98,-0.09,-0.22
563507569,-0.98,-0.09,-0.22
563509569,-0.98,-0.09,-0.22
563511573,-0.97,-0.09,-0.22
563513639,-0.97,-0.09,-0.22
563515625,-0.97,-0.09,-0.22
563517610,-0.97,-0.09,-0.22
563519631,-0.97,-0.09,-0.22
563521610,-0.99,-0.06,-0.22
563523612,-0.99,-0.06,-0.22
563525611,-0.99,-0.06,-0.22
563527704,-0.99,-0.06,-0.22
563529574,-0.99,-0.06,-0.22
563531574,-0.99,-0.05,-0.24
563533570,-0.99,-0.05,-0.24
563535589,-0.99,-0.05,-0.24
563537574,-0.99,-0.05,-0.24
563539574,-0.99,-0.05,-0.24
563541576,-1.00,-0.05,-0.24
563543571,-1.00,-0.05,-0.24
563545580,-1.00,-0.05,-0.24
563547603,-1.00,-0.05,-0.24
563549573,-1.00,-0.05,-0.24
563551704,-1.00,-0.04,-0.23
563553639,-1.00,-0.04,-0.23
563555617,-1.00,-0.04,-0.23
563557611,-1.00,-0.04,-0.23
563559612,-1.00,-0.04,-0.23
563561610,-1.00,-0.00,-0.22
563563613,-1.00,-0.00,-0.22
563565612,-1.00,-0.00,-0.22
563567571,-1.00,-0.00,-0.22
563569572,-1.00,-0.00,-0.22
563571576,-1.02,0.08,-0.20
563573575,-1.02,0.08,-0.20
563575575,-1.02,0.08,-0.20
563577664,-1.02,0.08,-0.20
563579580,-1.02,0.08,-0.20
563581576,-1.02,0.13,-0.20
563583574,-1.02,0.13,-0.20
563585578,-1.02,0.13,-0.20
563587577,-1.02,0.13,-0.20
563589591,-1.02,0.13,-0.20
563591581,-1.02,0.13,-0.20
563593622,-1.01,0.14,-0.19
563595610,-1.01,0.14,-0.19
563597608,-1.01,0.14,-0.19
563599609,-1.01,0.14,-0.19
563601696,-1.01,0.14,-0.19
563603612,-1.00,0.14,-0.21
563605576,-1.00,0.14,-0.21
563607576,-1.00,0.14,-0.21
563609580,-1.00,0.14,-0.21
563611583,-1.00,0.14,-0.21
