timestamp,accX,accY,accZ
1491863277,-0.96,0.20,-0.11
1491865213,-0.96,0.20,-0.11
1491867216,-0.96,0.20,-0.09
1491869213,-0.96,0.20,-0.09
1491871210,-0.96,0.20,-0.09
1491873214,-0.96,0.20,-0.09
1491875218,-0.96,0.20,-0.09
1491877214,-0.96,0.20,-0.09
1491879209,-0.96,0.21,-0.09
1491881325,-0.96,0.21,-0.09
1491883217,-0.96,0.21,-0.09
1491885213,-0.96,0.21,-0.09
1491887209,-0.96,0.21,-0.09
1491889213,-0.96,0.23,-0.08
1491891214,-0.96,0.23,-0.08
1491893210,-0.96,0.23,-0.08
1491895210,-0.96,0.23,-0.08
1491897210,-0.96,0.23,-0.08
1491899209,-0.97,0.23,-0.10
1491901215,-0.97,0.23,-0.10
1491903213,-0.97,0.23,-0.10
1491905290,-0.97,0.23,-0.10
1491907214,-0.97,0.23,-0.10
1491909207,-0.96,0.24,-0.10
1491911210,-0.96,0.24,-0.10
1491913207,-0.96,0.24,-0.10
1491915208,-0.96,0.24,-0.10
1491917214,-0.96,0.24,-0.10
1491919209,-0.97,0.24,-0.11
1491921214,-0.97,0.24,-0.11
1491923215,-0.97,0.24,-0.11
1491925213,-0.97,0.24,-0.11
1491927216,-0.97,0.24,-0.11
1491929210,-0.97,0.24,-0.11
1491931287,-0.97,0.24,-0.11
1491933214,-0.97,0.24,-0.11
1491935207,-0.97,0.24,-0.11
1491937217,-0.97,0.24,-0.11
1491939211,-0.96,0.23,-0.11
1491941209,-0.96,0.23,-0.11
1491943215,-0.96,0.23,-0.11
1491945211,-0.96,0.23,-0.11
1491947210,-0.96,0.23,-0.11
1491949214,-0.96,0.24,-0.10
1491951249,-0.96,0.24,-0.10
1491953218,-0.96,0.24,-0.10
1491955312,-0.96,0.24,-0.10
1491957217,-0.96,0.24,-0.10
1491959213,-0.97,0.24,-0.09
1491961216,-0.97,0.24,-0.09
1491963236,-0.97,0.24,-0.09
1491965217,-0.97,0.24,-0.09
1491967213,-0.97,0.24,-0.09
1491969220,-0.97,0.24,-0.09
1491971217,-0.96,0.23,-0.09
1491973211,-0.96,0.23,-0.09
1491975217,-0.96,0.23,-0.09
1491977211,-0.96,0.23,-0.09
1491979210,-0.96,0.23,-0.09
1491981308,-0.96,0.23,-0.09
1491983210,-0.96,0.23,-0.09
1491985213,-0.96,0.23,-0.09
1491987213,-0.96,0.23,-0.09
1491989212,-0.96,0.23,-0.09
1491991209,-0.96,0.23,-0.10
1491993214,-0.96,0.23,-0.10
1491995210,-0.96,0.23,-0.10
1491997209,-0.96,0.23,-0.10
1491999208,-0.96,0.23,-0.10
1492001214,-0.96,0.24,-0.11
1492003208,-0.96,0.24,-0.11
1492005299,-0.96,0.24,-0.11
1492007215,-0.96,0.24,-0.11
1492009208,-0.96,0.24,-0.11
1492011209,-0.96,0.23,-0.10
1492013208,-0.96,0.23,-0.10
1492015214,-0.96,0.23,-0.10
1492017206,-0.96,0.23,-0.10
1492019214,-0.96,0.23,-0.10
1492021206,-0.96,0.24,-0.10
1492023209,-0.96,0.24,-0.10
1492025208,-0.96,0.24,-0.10
1492027208,-0.96,0.24,-0.10
1492029210,-0.96,0.24,-0.10
1492031288,-0.96,0.23,-0.09
1492033213,-0.96,0.23,-0.09
1492035207,-0.96,0.23,-0.09
1492037214,-0.96,0.23,-0.09
1492039210,-0.96,0.23,-0.09
1492041213,-0.96,0.21,-0.09
1492043210,-0.96,0.21,-0.09
1492045206,-0.96,0.21,-0.09
1492047214,-0.96,0.21,-0.09
1492049208,-0.96,0.21,-0.09
1492051209,-0.96,0.21,-0.09
1492053241,-0.96,0.21,-0.09
1492055316,-0.96,0.21,-0.09
1492057220,-0.96,0.21,-0.09
1492059218,-0.96,0.21,-0.09
1492061216,-0.96,0.21,-0.09
1492063233,-0.96,0.22,-0.09
1492065215,-0.96,0.22,-0.09
1492067210,-0.96,0.22,-0.09
1492069215,-0.96,0.22,-0.09
1492071213,-0.96,0.22,-0.09
1492073210,-0.96,0.24,-0.09
1492075217,-0.96,0.24,-0.09
1492077212,-0.96,0.24,-0.09
1492079215,-0.96,0.24,-0.09
1492081310,-0.96,0.24,-0.09
