timestamp,accX,accY,accZ
2606391274,-0.93,-0.11,-0.32
2606393211,-0.92,-0.26,-0.34
2606395207,-0.92,-0.26,-0.34
2606397208,-0.92,-0.26,-0.34
2606399211,-0.92,-0.26,-0.34
2606401207,-0.92,-0.26,-0.34
2606403214,-0.94,-0.29,-0.32
2606405330,-0.94,-0.29,-0.32
2606407215,-0.94,-0.29,-0.32
2606409210,-0.94,-0.29,-0.32
2606411207,-0.94,-0.29,-0.32
2606413209,-0.95,-0.21,-0.31
2606415206,-0.95,-0.21,-0.31
2606417211,-0.95,-0.21,-0.31
2606419206,-0.95,-0.21,-0.31
2606421208,-0.95,-0.21,-0.31
2606423207,-0.95,-0.11,-0.29
2606425206,-0.95,-0.11,-0.29
2606427210,-0.95,-0.11,-0.29
2606429206,-0.95,-0.11,-0.29
2606431283,-0.95,-0.11,-0.29
2606433220,-1.00,-0.04,-0.34
2606435214,-1.00,-0.04,-0.34
2606437214,-1.00,-0.04,-0.34
2606439207,-1.00,-0.04,-0.34
2606441213,-1.00,-0.04,-0.34
2606443211,-0.93,-0.18,-0.38
2606445213,-0.93,-0.18,-0.38
2606447213,-0.93,-0.18,-0.38
2606449211,-0.93,-0.18,-0.38
2606451213,-0.93,-0.18,-0.38
2606453211,-0.85,-0.45,-0.41
2606455292,-0.85,-0.45,-0.41
2606457214,-0.85,-0.45,-0.41
2606459210,-0.85,-0.45,-0.41
2606461210,-0.85,-0.45,-0.41
2606463214,-0.85,-0.46,-0.37
2606465212,-0.85,-0.46,-0.37
2606467210,-0.85,-0.46,-0.37
2606469214,-0.85,-0.46,-0.37
2606471209,-0.85,-0.46,-0.37
2606473217,-0.85,-0.46,-0.37
2606475217,-0.92,-0.42,-0.44
2606477212,-0.92,-0.42,-0.44
2606479213,-0.92,-0.42,-0.44
2606481293,-0.92,-0.42,-0.44
2606483211,-0.92,-0.42,-0.44
2606485213,-0.95,-0.48,-0.46
2606487273,-0.95,-0.48,-0.46
2606489259,-0.95,-0.48,-0.46
2606491216,-0.95,-0.48,-0.46
2606493214,-0.95,-0.48,-0.46
2606495213,-0.94,-0.45,-0.46
2606497209,-0.94,-0.45,-0.46
2606499212,-0.94,-0.45,-0.46
2606501206,-0.94,-0.45,-0.46
2606503213,-0.94,-0.45,-0.46
2606505341,-1.03,-0.40,-0.44
2606507220,-1.03,-0.40,-0.44
2606509213,-1.03,-0.40,-0.44
2606511216,-1.03,-0.40,-0.44
2606513211,-1.03,-0.40,-0.44
2606515215,-1.10,-0.43,-0.41
2606517214,-1.10,-0.43,-0.41
2606519213,-1.10,-0.43,-0.41
2606521214,-1.10,-0.43,-0.41
2606523214,-1.10,-0.43,-0.41
2606525208,-1.08,-0.48,-0.43
2606527211,-1.08,-0.48,-0.43
2606529206,-1.08,-0.48,-0.43
2606531291,-1.08,-0.48,-0.43
2606533209,-1.08,-0.48,-0.43
2606535214,-1.08,-0.50,-0.42
2606537214,-1.08,-0.50,-0.42
2606539209,-1.08,-0.50,-0.42
2606541210,-1.08,-0.50,-0.42
2606543213,-1.08,-0.50,-0.42
2606545214,-1.08,-0.49,-0.44
2606547215,-1.08,-0.49,-0.44
2606549215,-1.08,-0.49,-0.44
2606551215,-1.08,-0.49,-0.44
2606553214,-1.08,-0.49,-0.44
2606555289,-1.04,-0.45,-0.42
2606557218,-1.04,-0.45,-0.42
2606559214,-1.04,-0.45,-0.42
2606561214,-1.04,-0.45,-0.42
2606563214,-1.04,-0.45,-0.42
2606565215,-1.04,-0.45,-0.42
2606567214,-1.02,-0.34,-0.42
2606569208,-1.02,-0.34,-0.42
2606571211,-1.02,-0.34,-0.42
2606573216,-1.02,-0.34,-0.42
2606575218,-1.02,-0.34,-0.42
2606577213,-0.99,-0.29,-0.46
2606579216,-0.99,-0.29,-0.46
2606581295,-0.99,-0.29,-0.46
2606583217,-0.99,-0.29,-0.46
2606585217,-0.99,-0.29,-0.46
2606587231,-0.96,-0.29,-0.47
2606589216,-0.96,-0.29,-0.47
2606591259,-0.96,-0.29,-0.47
2606593215,-0.96,-0.29,-0.47
2606595210,-0.96,-0.29,-0.47
2606597209,-0.88,-0.30,-0.48
2606599209,-0.88,-0.30,-0.48
2606601215,-0.88,-0.30,-0.48
2606603208,-0.88,-0.30,-0.48
2606605313,-0.88,-0.30,-0.48
2606607218,-0.81,-0.35,-0.48
2606609209,-0.81,-0.35,-0.48
